ObsName,OVII_2,erOVII_2,OVIII_2,erOVIII_2,NeIX_2,erNeIX_2,Exp
HS0068_tail,0.850,0.036,0.057,0.008,0.042,0.003,48.576
HS0069_tail,0.824,0.042,0.070,0.008,0.039,0.003,44.288
HS0070_tail,0.722,0.032,0.051,0.008,0.034,0.003,185.921
HS0071_tail,0.674,0.032,0.045,0.009,0.030,0.003,81.024
HS0072_tail,1.132,0.053,0.138,0.019,0.075,0.006,86.464
HS0073_tail,0.816,0.041,0.091,0.012,0.045,0.004,130.624
HS0074_tail,0.785,0.040,0.104,0.019,0.040,0.005,205.953
HS0075_tail,0.838,0.049,0.110,0.021,0.045,0.006,86.848
HS0076_tail,0.902,0.052,0.121,0.024,0.049,0.007,143.937
HS0077_tail,0.924,0.051,0.107,0.021,0.049,0.007,63.873
HS0078_tail,0.658,0.031,0.062,0.006,0.030,0.003,58.368
HS0079_tail,0.771,0.037,0.060,0.007,0.038,0.003,120.129
HS0068_flank01,1.135,0.048,0.086,0.007,0.043,0.003,30.016
HS0070_flank04,0.707,0.036,0.065,0.006,0.033,0.003,33.152
HS0071_flank03,0.727,0.032,0.057,0.006,0.034,0.003,105.921
HS0072_flank05,1.658,0.050,0.080,0.012,0.074,0.005,30.592
HS0074_flank11,0.902,0.040,0.052,0.012,0.043,0.005,71.937
HS0075_flank05,1.470,0.075,0.284,0.038,0.101,0.009,17.408
HS0076_flank07,1.477,0.069,0.201,0.028,0.090,0.007,24.512
HS0076_flank09,0.937,0.044,0.069,0.018,0.041,0.005,212.673
HS0077_flank01,1.050,0.047,0.118,0.008,0.049,0.004,35.009
HS0077_flank10,1.444,0.077,0.239,0.041,0.093,0.013,37.760
HS0077_flank11,1.087,0.069,0.117,0.017,0.053,0.006,47.744
HS0077_flank12,1.125,0.061,0.134,0.018,0.056,0.006,46.657
HS0077_flank13,0.984,0.058,0.115,0.016,0.048,0.005,37.056
HS0079_flank01,1.497,0.058,0.175,0.022,0.095,0.007,52.480
HS0079_flank06,1.107,0.044,0.099,0.014,0.073,0.010,152.705
