ObsName,OVII_1,erOVII_1,OVII_2,erOVII_2,OVIII_1,erOVIII_1,OVIII_2,erOVIII_2,NeIX_1,erNeIX_1,NeIX_2,erNeIX_2,Exp
HS0068_tail,,,,,,,,,,,,,48.576
HS0069_tail,,,,,,,,,,,,,44.288
HS0070_tail,,,,,,,,,,,,,185.921
HS0071_tail,0.675,0.031,0.692,0.032,0.061,0.006,0.062,0.006,0.030,0.003,0.031,0.003,81.024
HS0072_tail,1.141,0.055,1.159,0.050,0.133,0.013,0.135,0.012,0.077,0.007,0.077,0.006,86.464
HS0073_tail,0.814,0.040,0.838,0.042,0.088,0.010,0.090,0.010,0.045,0.004,0.046,0.004,130.624
HS0074_tail,0.782,0.040,0.806,0.041,0.073,0.009,0.075,0.009,0.040,0.005,0.041,0.005,205.953
HS0075_tail,0.883,0.043,0.878,0.044,0.086,0.010,0.085,0.010,0.047,0.005,0.047,0.005,86.848
HS0076_tail,0.872,0.049,0.924,0.052,0.091,0.013,0.096,0.014,0.048,0.007,0.050,0.007,143.937
HS0077_tail,0.893,0.053,0.919,0.054,0.088,0.012,0.091,0.012,0.047,0.007,0.049,0.007,63.873
HS0078_tail,,,,,,,,,,,,,58.368
HS0079_tail,,,,,,,,,,,,,120.129
HS0068_flank01,,,,,,,,,,,,,30.016
HS0070_flank04,,,,,,,,,,,,,33.152
HS0071_flank03,0.729,0.031,0.746,0.032,0.066,0.005,0.067,0.005,0.034,0.002,0.034,0.003,105.921
HS0072_flank05,2.084,0.062,1.701,0.050,0.166,0.012,0.132,0.009,0.098,0.006,0.076,0.005,30.592
HS0074_flank11,0.821,0.016,0.846,0.016,0.031,0.002,0.032,0.003,0.033,0.002,0.034,0.002,71.937
HS0075_flank05,1.524,0.073,1.506,0.073,0.199,0.016,0.198,0.016,0.104,0.009,0.104,0.009,17.408
HS0076_flank07,1.474,0.067,1.513,0.069,0.164,0.013,0.168,0.013,0.089,0.007,0.092,0.007,24.512
HS0076_flank09,0.896,0.023,0.920,0.024,0.039,0.004,0.040,0.004,0.037,0.002,0.038,0.002,212.673
HS0077_flank01,1.043,0.047,1.075,0.048,0.097,0.009,0.100,0.009,0.049,0.004,0.050,0.004,35.009
HS0077_flank10,1.438,0.045,1.481,0.046,0.208,0.057,0.214,0.058,0.092,0.005,0.095,0.005,37.760
HS0077_flank11,1.085,0.063,1.118,0.065,0.113,0.015,0.117,0.015,0.053,0.005,0.054,0.005,47.744
HS0077_flank12,1.121,0.058,1.155,0.060,0.143,0.016,0.148,0.016,0.056,0.005,0.058,0.006,46.657
HS0077_flank13,0.983,0.056,1.013,0.058,0.112,0.011,0.116,0.011,0.048,0.005,0.050,0.006,37.056
HS0079_flank01,,,,,,,,,,,,,52.480
HS0079_flank06,1.275,0.045,1.313,0.046,0.093,0.012,0.096,0.012,0.065,0.005,0.067,0.005,152.705
